"Search for...";"Search products you are looking for.."
"Site Member";"Site Consumer"
"Browse the brands created for products by the various members.";"Browse the brands created for products by the various consumers."
"Browse the tags created for products by the various members.";"Browse the tags created for products by the various consumers."
"_EMAIL_SITESTOREPRODUCT_MEMBER_ORDER_SHIP_TITLE";"Order Shipment to Buyers"
"_EMAIL_SITESTOREPRODUCT_MEMBER_ORDER_SHIP_DESCRIPTION";"This email is sent to the buyers on your site when sellers (showroom administrators) or site administrators ship their orders."
"_EMAIL_SITESTOREPRODUCT_MEMBER_ORDER_SHIP_SUBJECT";"Your order [order_id] has been shipped from [object_title]"
"_EMAIL_SITESTOREPRODUCT_MEMBER_ORDER_SHIP_BODY";"[header]

Your order [order_no] has been shipped from [object_name] showroom. You may track your order by using the tracking number [tracking_num] for the same on [service].

[footer]"
"_EMAIL_SITESTOREPRODUCT_ORDER_PLACE_BY_MEMBER_TITLE";"Successful Placement of Orders by Buyers via 2CO / PayPal"
"_EMAIL_SITESTOREPRODUCT_ORDER_PLACE_BY_MEMBER_DESCRIPTION";"This email is sent to buyers when they place orders on your site via 2CO / PayPal payment method."
"_EMAIL_SITESTOREPRODUCT_ORDER_PLACE_BY_MEMBER_SUBJECT";"Your order [order_id] has been placed successfully"
"_EMAIL_SITESTOREPRODUCT_ORDER_PLACE_BY_MEMBER_BODY";"[header]

Your order [order_no] has been placed successfully from the [object_name] showroom.

Please view the invoice of your order below:

[order_invoice]

[footer]"
"_EMAIL_SITESTOREPRODUCT_MEMBER_ORDER_PLACE_BY_BYCHEQUE_TITLE";"Successful Placement of Orders by Buyers via By Cheque"
"_EMAIL_SITESTOREPRODUCT_MEMBER_ORDER_PLACE_BY_BYCHEQUE_DESCRIPTION";"This email is sent to buyers when they place orders on your site via “By cheque” payment method."
"_EMAIL_SITESTOREPRODUCT_MEMBER_ORDER_PLACE_BY_BYCHEQUE_SUBJECT";"Your order [order_id] has been placed successfully"
"_EMAIL_SITESTOREPRODUCT_MEMBER_ORDER_PLACE_BY_BYCHEQUE_BODY";"[header]

Your order has been placed successfully from the [object_name] showroom. 

You will receive the invoice of your order, once your cheque has been approved. 

[footer]"
"Member’s Name / Email";"Consumer’s Name / Email"
"_EMAIL_SITESTOREPRODUCT_ORDER_PLACE_BY_MEMBER_PAYMENT_PENDING_TITLE";"Order Placed but Payment Pending by Buyers (site consumer)"
"_EMAIL_SITESTOREPRODUCT_ORDER_PLACE_BY_MEMBER_PAYMENT_PENDING_DESCRIPTION";"This email is sent to buyers when payment for their orders is either pending or in-complete."
"_EMAIL_SITESTOREPRODUCT_ORDER_PLACE_BY_MEMBER_PAYMENT_PENDING_SUBJECT";"Payment for your order [order_id] has been failed"
"_EMAIL_SITESTOREPRODUCT_ORDER_PLACE_BY_MEMBER_PAYMENT_PENDING_BODY";"[header]

Payment for your order [order_no] purchased from [object_name] has been failed and thus your order could not be placed.

[footer]"
"_EMAIL_SITESTOREPRODUCT_MEMBER_BUYER_FOR_ORDER_STATUS_CHANGE_TITLE";"Alert to Buyers when Order Status Change by Site administrators or Seller"
"_EMAIL_SITESTOREPRODUCT_MEMBER_BUYER_FOR_ORDER_STATUS_CHANGE_DESCRIPTION";"This email is sent to buyers when site administrators or sellers change statuses of their orders and want to notify these buyers."
"_EMAIL_SITESTOREPRODUCT_MEMBER_BUYER_FOR_ORDER_STATUS_CHANGE_SUBJECT";"Status of your Order [order_id] has been changed"
"_EMAIL_SITESTOREPRODUCT_MEMBER_BUYER_FOR_ORDER_STATUS_CHANGE_BODY";"[header]

Order [order_no] status changed to [status_title]. 

Please view the invoice of your order below:

[order_invoice]

[footer]"
"_EMAIL_SITESTOREPRODUCT_ORDER_COMMENT_TO_MEMBER_BUYER_TITLE";"Alert for Comments Posted By Sellers or Site administrators to Buyers"
"_EMAIL_SITESTOREPRODUCT_ORDER_COMMENT_TO_MEMBER_BUYER_DESCRIPTION";"This email is sent to the buyers when sellers or site administrators post comments on orders their orders and want to notify these buyers."
"_EMAIL_SITESTOREPRODUCT_ORDER_COMMENT_TO_MEMBER_BUYER_SUBJECT";"A new comment has been posted on your order [order_id]"
"_EMAIL_SITESTOREPRODUCT_ORDER_COMMENT_TO_MEMBER_BUYER_BODY";"[header]

A new comment has been posted on your order [order_no] purchased from [object_name] showroom: 

[order_comment]

[footer]"
"_EMAIL_SITESTOREPRODUCT_EDITOR_ASSIGN_EMAIL_TITLE";"Showrooms / Marketplace - Consumer Becomes Editor"
"_EMAIL_SITESTOREPRODUCT_EDITOR_ASSIGN_EMAIL_DESCRIPTION";"This email goes to the consumers when they are made the editors to write editor reviews."
"_EMAIL_SITESTOREPRODUCT_PRODUCT_CREATION_EDITOR_DESCRIPTION";"This email is sent to the editors when consumers post new products."
"_EMAIL_SITESTOREPRODUCT_EDITORREVIEW_CREATION_DESCRIPTION";"This email is sent to the consumers when editor write reviews on Products that the consumer created."
"_EMAIL_SITESTOREPRODUCT_EDITOR_EMAIL_TITLE";"Showrooms / Marketplace - Consumer Contacts Editor Email"
"_EMAIL_SITESTOREPRODUCT_EDITOR_EMAIL_DESCRIPTION";"This is the email that gets sent to editors when consumers contact them."
"_EMAIL_NOTIFY_SITESTOREPRODUCT_WRITE_REVIEW_DESCRIPTION";"This email is sent to the consumers when people write reviews on Products that the consumer created."
"_EMAIL_SITESTOREPRODUCT_CHANGEOWNER_EMAIL_DESCRIPTION";"This is the email that goes to a consumer when owner of their Product has been changed."
"ACTIVITY_TYPE_SITESTOREPRODUCT_APPROVED_REVIEW";"When people (non-site consumers) write a review on product I created."
"ACTIVITY_TYPE_SITESTOREPRODUCT_SUBSCRIBED_NEW";"When a new product is created by a consumer you have subscribed to."
"ACTIVITY_TYPE_SITESTOREPRODUCT_ORDER_PLACE_LOGIN_VIEWER";"When someone (site consumer) purchase products from my Showroom"
"_ACTIVITY_ACTIONTYPE_SITESTOREPRODUCT_ORDER_PLACE";"When a consumer purchase products from a showroom"
"_EMAIL_SITESTOREPRODUCT_MEMBER_ORDER_PLACE_BY_COD_TITLE";"Successful Placement of Orders by Buyers via Cash on Delivery"
"_EMAIL_SITESTOREPRODUCT_MEMBER_ORDER_PLACE_BY_COD_DESCRIPTION";"This email is sent to buyers when they place orders on your site via Cash on Delivery"" payment method."""
"_EMAIL_SITESTOREPRODUCT_MEMBER_ORDER_PLACE_BY_COD_SUBJECT";"Your order [order_id] has been placed successfully"
"_EMAIL_SITESTOREPRODUCT_MEMBER_ORDER_PLACE_BY_COD_BODY";"[header]

Your order has been placed successfully from the [object_name] showroom. 

[footer]"
"%s friend is member";"%s friend is consumer";"%s friends is consumers"
"Friends Who Are Members";"Friends Who Are Consumers"
